report_date,bond,bond_yield,years_to_maturity
2025-04-28,R2037,11.165,11.761806981519507
2025-04-28,R209,10.91,10.924024640657084
2025-04-28,R2033,9.81,7.923340177960301
2025-04-28,R214,11.44,15.838466803559204
2025-04-28,R213,9.295,5.83709787816564
2025-04-28,R2030,8.8,4.761122518822724
2025-04-28,R186,7.98,1.648186173853525
2025-04-28,SATB12M,7.882,1.0
2025-04-28,R2040,11.585,14.759753593429158
2025-04-28,R2035,10.605,9.83709787816564
2025-04-28,R2044,11.745,18.75975359342916
2025-04-28,ZARGB5,8.908,5.0
2025-04-28,ZARGB30,11.614,30.0
2025-04-28,ZARGB25,11.702,25.0
2025-04-28,ZARGB20,11.743,20.0
2025-04-28,ZARGB10,10.649,10.0
2025-04-28,ZARGB15,11.554,15.0
2025-04-28,R2048,11.74,22.836413415468854
2025-04-28,ZARGB3,8.336,3.0
2025-04-28,ZARGB2,8.072,2.0
2025-04-28,R2053,11.65,27.923340177960306
2025-04-25,R2035,10.665,9.845311430527037
2025-04-25,R214,11.48,15.846680355920602
2025-04-25,R2040,11.625,14.767967145790555
2025-04-25,R2038,11.26,12.930869267624914
2025-04-25,R2037,11.22,11.770020533880905
2025-04-25,R209,10.965,10.93223819301848
2025-04-25,SATB12M,7.893,1.0
2025-04-25,R2033,9.87,7.931553730321697
2025-04-25,R2032,9.76,6.93223819301848
2025-04-25,R213,9.35,5.845311430527036
2025-04-25,R2030,8.85,4.769336071184121
2025-04-25,R186,8.0,1.6563997262149213
2025-04-25,R2048,11.77,22.84462696783025
2025-04-25,R2044,11.78,18.767967145790557
2025-04-25,R2053,11.685,27.9315537303217
2025-04-25,SATB9M,8.0,0.75
2025-04-25,ZARGB25,11.734,25.0
2025-04-25,REPO,7.5,0.0
2025-04-25,ZARGB2,8.093,2.0
2025-04-25,SATB6M,7.93,0.5
2025-04-25,SATB3M,7.57,0.25
2025-04-25,ZARGB30,11.651,30.0
2025-04-25,ZARGB20,11.777,20.0
2025-04-25,ZARGB15,11.595,15.0
2025-04-25,ZARGB10,10.706,10.0
2025-04-25,ZARGB5,8.956,5.0
2025-04-25,ZARGB3,8.366,3.0
2025-04-24,R2033,9.88,7.934291581108829
2025-04-24,R2038,11.24,12.933607118412048
2025-04-24,R2037,11.2,11.772758384668036
2025-04-24,R209,10.95,10.934976043805612
2025-04-24,R2035,10.66,9.848049281314168
2025-04-24,R214,11.43,15.849418206707734
2025-04-24,R2032,9.77,6.934976043805612
2025-04-24,R213,9.365,5.848049281314168
2025-04-24,SATB12M,7.893,1.0
2025-04-24,R186,7.99,1.659137577002053
2025-04-24,R2040,11.585,14.770704996577686
2025-04-24,R2030,8.85,4.772073921971253
2025-04-24,R2044,11.735,18.770704996577688
2025-04-24,ZARGB10,10.699,10.0
2025-04-24,ZARGB30,11.596,30.0
2025-04-24,ZARGB25,11.679,25.0
2025-04-24,ZARGB20,11.729,20.0
2025-04-24,ZARGB15,11.554,15.0
2025-04-24,R2048,11.715,22.847364818617383
2025-04-24,ZARGB5,8.957,5.0
2025-04-24,ZARGB3,8.36,3.0
2025-04-24,ZARGB2,8.084,2.0
2025-04-24,R2053,11.63,27.93429158110883
2025-04-23,R214,11.555,15.852156057494868
2025-04-23,R186,8.075,1.6618754277891854
2025-04-23,R2030,9.01,4.774811772758385
2025-04-23,R213,9.515,5.8507871321013
2025-04-23,R2032,9.925,6.937713894592744
2025-04-23,R2033,10.035,7.9370294318959616
2025-04-23,R2035,10.795,9.8507871321013
2025-04-23,R209,11.085,10.937713894592743
2025-04-23,R2037,11.34,11.775496235455169
2025-04-23,R2038,11.38,12.936344969199178
2025-04-23,R2040,11.695,14.77344284736482
2025-04-23,SATB12M,7.893,1.0
2025-04-23,R2044,11.855,18.77344284736482
2025-04-23,R2053,11.755,27.93702943189596
2025-04-23,ZARGB2,8.176,2.0
2025-04-23,ZARGB3,8.476,3.0
2025-04-23,ZARGB5,9.114,5.0
2025-04-23,ZARGB10,10.833,10.0
2025-04-23,ZARGB15,11.667,15.0
2025-04-23,ZARGB20,11.846,20.0
2025-04-23,ZARGB25,11.796,25.0
2025-04-23,ZARGB30,11.727,30.0
2025-04-23,R2048,11.825,22.85010266940452
2025-04-22,R2033,10.16,7.939767282683094
2025-04-22,R2038,11.515,12.93908281998631
2025-04-22,R2037,11.475,11.7782340862423
2025-04-22,R209,11.225,10.940451745379876
2025-04-22,R2035,10.93,9.853524982888432
2025-04-22,SATB12M,7.893,1.0
2025-04-22,R2032,10.065,6.940451745379876
2025-04-22,R213,9.655,5.853524982888432
2025-04-22,R2030,9.15,4.777549623545517
2025-04-22,R186,8.175,1.6646132785763177
2025-04-22,R2040,11.815,14.77618069815195
2025-04-22,R214,11.685,15.854893908282
2025-04-22,R2044,11.985,18.77618069815195
2025-04-22,R2053,11.88,27.939767282683093
2025-04-22,ZARGB2,8.28,2.0
2025-04-22,ZARGB3,8.593,3.0
2025-04-22,ZARGB5,9.253,5.0
2025-04-22,ZARGB10,10.968,10.0
2025-04-22,ZARGB15,11.789,15.0
2025-04-22,ZARGB20,11.973,20.0
2025-04-22,ZARGB25,11.918,25.0
2025-04-22,ZARGB30,11.854,30.0
2025-04-22,R2048,11.945,22.85284052019165
2025-04-21,R2033,10.15,7.942505133470226
2025-04-21,R2038,11.47,12.941820670773442
2025-04-21,R2037,11.45,11.780971937029433
2025-04-21,R209,11.2,10.94318959616701
2025-04-21,R2035,10.905,9.856262833675563
2025-04-21,R214,11.66,15.85763175906913
2025-04-21,R2032,10.065,6.9431895961670085
2025-04-21,R213,9.66,5.856262833675565
2025-04-21,R2030,9.15,4.780287474332649
2025-04-21,R186,8.17,1.6673511293634498
2025-04-21,SATB12M,7.893,1.0
2025-04-21,R2040,11.79,14.778918548939084
2025-04-21,ZARGB5,9.253,5.0
2025-04-21,R2044,11.965,18.77891854893908
2025-04-21,R2053,11.855,27.942505133470227
2025-04-21,ZARGB2,8.274,2.0
2025-04-21,ZARGB3,8.589,3.0
2025-04-21,R2048,11.92,22.855578370978783
2025-04-21,ZARGB10,10.942,10.0
2025-04-21,ZARGB15,11.765,15.0
2025-04-21,ZARGB20,11.952,20.0
2025-04-21,ZARGB25,11.893,25.0
2025-04-21,ZARGB30,11.829,30.0
2025-04-18,R2033,10.15,7.950718685831622
2025-04-18,R2040,11.79,14.78713210130048
2025-04-18,R2038,11.47,12.95003422313484
2025-04-18,R2037,11.45,11.789185489390828
2025-04-18,R209,11.2,10.951403148528405
2025-04-18,R2035,10.905,9.86447638603696
2025-04-18,SATB12M,7.893,1.0
2025-04-18,R2032,10.065,6.951403148528406
2025-04-18,R213,9.66,5.864476386036961
2025-04-18,R2030,9.15,4.788501026694045
2025-04-18,R186,8.17,1.675564681724846
2025-04-18,R2044,11.965,18.78713210130048
2025-04-18,R214,11.66,15.865845311430528
2025-04-18,R2048,11.92,22.863791923340177
2025-04-18,SATB9M,8.0,0.75
2025-04-18,ZARGB20,11.952,20.0
2025-04-18,REPO,7.5,0.0
2025-04-18,R2053,11.855,27.95071868583162
2025-04-18,SATB6M,7.93,0.5
2025-04-18,SATB3M,7.57,0.25
2025-04-18,ZARGB25,11.893,25.0
2025-04-18,ZARGB30,11.829,30.0
2025-04-18,ZARGB15,11.766,15.0
2025-04-18,ZARGB10,10.94,10.0
2025-04-18,ZARGB5,9.249,5.0
2025-04-18,ZARGB3,8.586,3.0
2025-04-18,ZARGB2,8.272,2.0
2025-04-17,R2033,10.15,7.953456536618754
2025-04-17,R2038,11.47,12.952772073921972
2025-04-17,R2037,11.45,11.79192334017796
2025-04-17,R209,11.2,10.954140999315538
2025-04-17,R2035,10.905,9.867214236824092
2025-04-17,R214,11.66,15.86858316221766
2025-04-17,R2032,10.065,6.954140999315538
2025-04-17,R213,9.66,5.867214236824093
2025-04-17,R2030,9.15,4.791238877481177
2025-04-17,SATB12M,7.893,1.0
2025-04-17,R2040,11.79,14.789869952087612
2025-04-17,R186,8.17,1.678302532511978
2025-04-17,R2044,11.965,18.78986995208761
2025-04-17,ZARGB10,10.939,10.0
2025-04-17,R2048,11.92,22.86652977412731
2025-04-17,ZARGB25,11.893,25.0
2025-04-17,ZARGB20,11.952,20.0
2025-04-17,ZARGB15,11.766,15.0
2025-04-17,ZARGB30,11.829,30.0
2025-04-17,ZARGB5,9.247,5.0
2025-04-17,ZARGB3,8.585,3.0
2025-04-17,ZARGB2,8.271,2.0
2025-04-17,R2053,11.855,27.95345653661876
2025-04-16,R214,11.62,15.871321013004792
2025-04-16,R186,8.18,1.68104038329911
2025-04-16,R2030,9.165,4.7939767282683095
2025-04-16,R213,9.665,5.8699520876112254
2025-04-16,R2032,10.065,6.95687885010267
2025-04-16,R2033,10.145,7.956194387405886
2025-04-16,R2035,10.875,9.869952087611225
2025-04-16,R209,11.17,10.956878850102669
2025-04-16,R2037,11.415,11.794661190965092
2025-04-16,R2038,11.44,12.955509924709103
2025-04-16,R2040,11.75,14.792607802874745
2025-04-16,SATB12M,7.893,1.0
2025-04-16,R2044,11.925,18.792607802874745
2025-04-16,R2053,11.82,27.956194387405887
2025-04-16,ZARGB2,8.28,2.0
2025-04-16,ZARGB3,8.597,3.0
2025-04-16,ZARGB5,9.259,5.0
2025-04-16,ZARGB10,10.908,10.0
2025-04-16,ZARGB15,11.726,15.0
2025-04-16,ZARGB20,11.912,20.0
2025-04-16,ZARGB25,11.855,25.0
2025-04-16,ZARGB30,11.796,30.0
2025-04-16,R2048,11.88,22.869267624914443
2025-04-15,R2033,10.175,7.958932238193018
2025-04-15,R2038,11.48,12.958247775496236
2025-04-15,R2037,11.45,11.797399041752223
2025-04-15,R209,11.205,10.959616700889802
2025-04-15,R2035,10.91,9.872689938398358
2025-04-15,SATB12M,7.893,1.0
2025-04-15,R2032,10.095,6.959616700889802
2025-04-15,R213,9.695,5.8726899383983575
2025-04-15,R2030,9.195,4.7967145790554415
2025-04-15,R186,8.185,1.6837782340862424
2025-04-15,R2040,11.785,14.795345653661876
2025-04-15,R214,11.65,15.874058863791925
2025-04-15,R2044,11.965,18.79534565366188
2025-04-15,R2053,11.86,27.958932238193015
2025-04-15,ZARGB2,8.287,2.0
2025-04-15,ZARGB3,8.611,3.0
2025-04-15,ZARGB5,9.288,5.0
2025-04-15,ZARGB10,10.943,10.0
2025-04-15,ZARGB15,11.761,15.0
2025-04-15,ZARGB20,11.949,20.0
2025-04-15,ZARGB25,11.889,25.0
2025-04-15,ZARGB30,11.84,30.0
2025-04-15,R2048,11.91,22.87200547570157
2025-04-14,R2033,10.2,7.96167008898015
2025-04-14,R2038,11.505,12.960985626283367
2025-04-14,R2037,11.475,11.800136892539356
2025-04-14,R209,11.23,10.962354551676931
2025-04-14,R2035,10.94,9.875427789185489
2025-04-14,R214,11.685,15.876796714579056
2025-04-14,R2032,10.12,6.962354551676934
2025-04-14,R213,9.715,5.87542778918549
2025-04-14,R2030,9.21,4.799452429842574
2025-04-14,R186,8.205,1.6865160848733745
2025-04-14,SATB12M,7.893,1.0
2025-04-14,R2040,11.815,14.798083504449009
2025-04-14,ZARGB30,11.86,30.0
2025-04-14,R2044,11.985,18.798083504449007
2025-04-14,R2053,11.88,27.96167008898015
2025-04-14,ZARGB2,8.306,2.0
2025-04-14,ZARGB3,8.628,3.0
2025-04-14,ZARGB5,9.303,5.0
2025-04-14,ZARGB10,10.971,10.0
2025-04-14,ZARGB15,11.792,15.0
2025-04-14,ZARGB20,11.969,20.0
2025-04-14,ZARGB25,11.909,25.0
2025-04-14,R2048,11.93,22.874743326488705
2025-04-11,R2033,10.27,7.969883641341547
2025-04-11,R2040,11.92,14.806297056810404
2025-04-11,R2038,11.61,12.969199178644764
2025-04-11,R2037,11.575,11.808350444900752
2025-04-11,R209,11.33,10.97056810403833
2025-04-11,R2035,11.04,9.883641341546886
2025-04-11,SATB12M,7.882,1.0
2025-04-11,R2032,10.2,6.97056810403833
2025-04-11,R213,9.79,5.883641341546886
2025-04-11,R2030,9.285,4.80766598220397
2025-04-11,R186,8.245,1.6947296372347709
2025-04-11,R2044,12.095,18.806297056810404
2025-04-11,R214,11.79,15.885010266940451
2025-04-11,R2048,12.045,22.882956878850106
2025-04-11,SATB9M,8.01,0.75
2025-04-11,ZARGB20,12.081,20.0
2025-04-11,REPO,7.5,0.0
2025-04-11,R2053,11.995,27.969883641341543
2025-04-11,SATB6M,7.94,0.5
2025-04-11,SATB3M,7.48,0.25
2025-04-11,ZARGB25,12.024,25.0
2025-04-11,ZARGB30,11.975,30.0
2025-04-11,ZARGB15,11.898,15.0
2025-04-11,ZARGB10,11.069,10.0
2025-04-11,ZARGB5,9.374,5.0
2025-04-11,ZARGB3,8.68,3.0
2025-04-11,ZARGB2,8.347,2.0
2025-04-10,R2035,10.89,9.886379192334015
2025-04-10,SATB12M,7.882,1.0
2025-04-10,R2038,11.445,12.971937029431896
2025-04-10,R2037,11.42,11.811088295687885
2025-04-10,R209,11.18,10.97330595482546
2025-04-10,R214,11.64,15.887748117727584
2025-04-10,R2033,10.14,7.972621492128679
2025-04-10,R2032,10.075,6.973305954825462
2025-04-10,R213,9.665,5.886379192334018
2025-04-10,R2030,9.185,4.810403832991102
2025-04-10,R186,8.235,1.6974674880219027
2025-04-10,R2040,11.77,14.809034907597535
2025-04-10,R2048,11.9,22.885694729637237
2025-04-10,R2044,11.95,18.809034907597532
2025-04-10,ZARGB2,8.327,2.0
2025-04-10,ZARGB3,8.632,3.0
2025-04-10,ZARGB5,9.268,5.0
2025-04-10,ZARGB10,10.918,10.0
2025-04-10,ZARGB15,11.748,15.0
2025-04-10,ZARGB20,11.936,20.0
2025-04-10,ZARGB25,11.879,25.0
2025-04-10,ZARGB30,11.83,30.0
2025-04-10,R2053,11.85,27.97262149212868
2025-04-09,R2033,10.24,7.975359342915811
2025-04-09,R2038,11.635,12.974674880219029
2025-04-09,R2037,11.605,11.813826146475018
2025-04-09,R209,11.35,10.976043805612594
2025-04-09,R2035,11.06,9.88911704312115
2025-04-09,SATB12M,7.882,1.0
2025-04-09,R2032,10.17,6.976043805612594
2025-04-09,R213,9.77,5.88911704312115
2025-04-09,R2030,9.28,4.813141683778234
2025-04-09,R186,8.26,1.700205338809035
2025-04-09,R2040,11.97,14.811772758384668
2025-04-09,R214,11.85,15.890485968514716
2025-04-09,R2044,12.15,18.811772758384667
2025-04-09,R2053,12.05,27.97535934291581
2025-04-09,ZARGB2,8.358,2.0
2025-04-09,ZARGB3,8.685,3.0
2025-04-09,ZARGB5,9.364,5.0
2025-04-09,ZARGB10,11.088,10.0
2025-04-09,ZARGB15,11.95,15.0
2025-04-09,ZARGB20,12.136,20.0
2025-04-09,ZARGB25,12.079,25.0
2025-04-09,ZARGB30,12.03,30.0
2025-04-09,R2048,12.1,22.888432580424368
2025-04-08,R2033,10.125,7.978097193702943
2025-04-08,R2038,11.505,12.97741273100616
2025-04-08,R2037,11.465,11.816563997262149
2025-04-08,R209,11.215,10.978781656399724
2025-04-08,R2035,10.945,9.891854893908285
2025-04-08,R214,11.755,15.893223819301848
2025-04-08,R2032,10.06,6.978781656399726
2025-04-08,R213,9.66,5.891854893908282
2025-04-08,R2030,9.19,4.815879534565366
2025-04-08,R186,8.255,1.702943189596167
2025-04-08,SATB12M,7.882,1.0
2025-04-08,R2040,11.865,14.8145106091718
2025-04-08,ZARGB3,8.644,3.0
2025-04-08,R2044,12.06,18.8145106091718
2025-04-08,ZARGB10,10.97,10.0
2025-04-08,ZARGB25,11.989,25.0
2025-04-08,ZARGB20,12.046,20.0
2025-04-08,ZARGB15,11.847,15.0
2025-04-08,ZARGB30,11.94,30.0
2025-04-08,ZARGB5,9.269,5.0
2025-04-08,R2048,12.01,22.8911704312115
2025-04-08,ZARGB2,8.344,2.0
2025-04-08,R2053,11.96,27.978097193702943
2025-04-07,R214,11.9,15.89596167008898
2025-04-07,SATB12M,7.882,1.0
2025-04-07,R186,8.25,1.7056810403832992
2025-04-07,R2030,9.305,4.818617385352498
2025-04-07,R213,9.785,5.894592744695414
2025-04-07,R2032,10.165,6.981519507186858
2025-04-07,R2033,10.235,7.9808350444900755
2025-04-07,R2035,11.08,9.894592744695414
2025-04-07,R209,11.34,10.981519507186858
2025-04-07,R2037,11.6,11.819301848049282
2025-04-07,R2038,11.64,12.980150581793293
2025-04-07,R2040,12.01,14.817248459958932
2025-04-07,R2044,12.215,18.81724845995893
2025-04-07,ZARGB5,9.384,5.0
2025-04-07,ZARGB30,12.09,30.0
2025-04-07,ZARGB25,12.139,25.0
2025-04-07,ZARGB20,12.199,20.0
2025-04-07,ZARGB10,11.104,10.0
2025-04-07,ZARGB15,11.992,15.0
2025-04-07,ZARGB3,8.688,3.0
2025-04-07,ZARGB2,8.349,2.0
2025-04-07,R2053,12.11,27.980835044490075
2025-04-07,R2048,12.16,22.89390828199863
2025-04-04,R2033,10.275,7.989048596851472
2025-04-04,R2040,11.99,14.825462012320328
2025-04-04,R2038,11.64,12.988364134154688
2025-04-04,R2037,11.595,11.827515400410675
2025-04-04,R209,11.34,10.989733059548255
2025-04-04,R2035,11.08,9.902806297056811
2025-04-04,SATB12M,7.882,1.0
2025-04-04,R2032,10.205,6.989733059548255
2025-04-04,R213,9.835,5.90280629705681
2025-04-04,R2030,9.375,4.826830937713894
2025-04-04,R186,8.33,1.7138945927446954
2025-04-04,R2048,12.12,22.902121834360027
2025-04-04,R214,11.87,15.904175222450377
2025-04-04,R2044,12.175,18.82546201232033
2025-04-04,R2053,12.075,27.98904859685147
2025-04-04,ZARGB20,12.159,20.0
2025-04-04,REPO,7.5,0.0
2025-04-04,SATB6M,7.94,0.5
2025-04-04,SATB3M,7.48,0.25
2025-04-04,ZARGB30,12.057,30.0
2025-04-04,ZARGB25,12.102,25.0
2025-04-04,SATB9M,8.01,0.75
2025-04-04,ZARGB15,11.972,15.0
2025-04-04,ZARGB5,9.448,5.0
2025-04-04,ZARGB3,8.761,3.0
2025-04-04,ZARGB2,8.426,2.0
2025-04-04,ZARGB10,11.102,10.0
2025-04-03,R2033,10.105,7.991786447638604
2025-04-03,R2038,11.365,12.99110198494182
2025-04-03,R2037,11.32,11.83025325119781
2025-04-03,R209,11.07,10.992470910335388
2025-04-03,R2035,10.815,9.905544147843942
2025-04-03,R2030,9.225,4.829568788501026
2025-04-03,R2032,10.03,6.992470910335387
2025-04-03,R213,9.67,5.905544147843942
2025-04-03,R186,8.27,1.7166324435318274
2025-04-03,SATB12M,7.882,1.0
2025-04-03,R214,11.595,15.906913073237508
2025-04-03,R2040,11.69,14.82819986310746
2025-04-03,R2044,11.865,18.82819986310746
2025-04-03,R2053,11.76,27.991786447638603
2025-04-03,ZARGB2,8.357,2.0
2025-04-03,ZARGB3,8.663,3.0
2025-04-03,ZARGB5,9.294,5.0
2025-04-03,ZARGB10,10.836,10.0
2025-04-03,ZARGB15,11.676,15.0
2025-04-03,ZARGB20,11.849,20.0
2025-04-03,ZARGB25,11.79,25.0
2025-04-03,ZARGB30,11.74,30.0
2025-04-03,R2048,11.81,22.90485968514716
2025-04-02,R2048,11.75,22.90759753593429
2025-04-02,R209,11.045,10.99520876112252
2025-04-02,R214,11.54,15.90965092402464
2025-04-02,R2040,11.645,14.830937713894592
2025-04-02,R2038,11.33,12.993839835728952
2025-04-02,R2037,11.29,11.83299110198494
2025-04-02,SATB12M,7.882,1.0
2025-04-02,R2035,10.8,9.908281998631075
2025-04-02,R2033,10.11,7.994524298425736
2025-04-02,R2032,10.045,6.995208761122519
2025-04-02,R213,9.69,5.908281998631074
2025-04-02,R2030,9.26,4.832306639288158
2025-04-02,R2044,11.805,18.830937713894592
2025-04-02,R186,8.3,1.7193702943189595
2025-04-02,R2053,11.705,27.99452429842573
2025-04-02,ZARGB25,11.732,25.0
2025-04-02,REPO,7.5,0.0
2025-04-02,SATB9M,8.05,0.75
2025-04-02,SATB6M,7.96,0.5
2025-04-02,SATB3M,7.53,0.25
2025-04-02,ZARGB30,11.687,30.0
2025-04-02,ZARGB2,8.386,2.0
2025-04-02,ZARGB20,11.789,20.0
2025-04-02,ZARGB15,11.63,15.0
2025-04-02,ZARGB10,10.819,10.0
2025-04-02,ZARGB5,9.326,5.0
2025-04-02,ZARGB3,8.694,3.0
2025-04-01,R214,11.345,15.912388774811772
2025-04-01,R186,8.245,1.7221081451060918
2025-04-01,R2030,9.09,4.8350444900752905
2025-04-01,R213,9.52,5.911019849418207
2025-04-01,R2032,9.87,6.997946611909651
2025-04-01,R2033,9.93,7.997262149212868
2025-04-01,R2035,10.595,9.911019849418206
2025-04-01,R209,10.84,10.99794661190965
2025-04-01,R2037,11.075,11.835728952772074
2025-04-01,R2038,11.115,12.996577686516083
2025-04-01,R2040,11.435,14.833675564681725
2025-04-01,SATB12M,7.882,1.0
2025-04-01,R2044,11.59,18.833675564681723
2025-04-01,ZARGB10,10.614,10.0
2025-04-01,ZARGB30,11.479,30.0
2025-04-01,ZARGB25,11.519,25.0
2025-04-01,ZARGB20,11.574,20.0
2025-04-01,ZARGB15,11.422,15.0
2025-04-01,R2048,11.535,22.910335386721425
2025-04-01,ZARGB5,9.155,5.0
2025-04-01,ZARGB3,8.591,3.0
2025-04-01,ZARGB2,8.32,2.0
2025-04-01,R2053,11.495,27.99726214921287
2025-03-31,R214,11.37,15.915126625598903
2025-03-31,R186,8.25,1.7248459958932238
2025-03-31,R2030,9.08,4.837782340862423
2025-03-31,R213,9.52,5.9137577002053385
2025-03-31,R2032,9.865,7.000684462696783
2025-03-31,R2033,9.93,8.0
2025-03-31,R2035,10.605,9.91375770020534
2025-03-31,R209,10.85,11.000684462696784
2025-03-31,R2037,11.085,11.838466803559204
2025-03-31,R2038,11.125,12.999315537303216
2025-03-31,SATB12M,7.882,1.0
2025-03-31,R2040,11.45,14.836413415468858
2025-03-31,R2044,11.605,18.836413415468854
2025-03-31,ZARGB10,10.623,10.0
2025-03-31,R2048,11.55,22.91307323750856
2025-03-31,ZARGB30,11.494,30.0
2025-03-31,ZARGB25,11.534,25.0
2025-03-31,ZARGB15,11.439,15.0
2025-03-31,ZARGB20,11.589,20.0
2025-03-31,ZARGB5,9.145,5.0
2025-03-31,ZARGB3,8.589,3.0
2025-03-31,ZARGB2,8.323,2.0
2025-03-31,R2053,11.51,28.0
2025-03-28,R2035,10.695,9.921971252566737
2025-03-28,R214,11.49,15.9233401779603
2025-03-28,R2040,11.565,14.844626967830251
2025-03-28,R2038,11.19,13.007529089664612
2025-03-28,R2037,11.165,11.846680355920602
2025-03-28,R209,10.93,11.00889801505818
2025-03-28,SATB12M,7.893,1.0
2025-03-28,R2033,9.995,8.008213552361397
2025-03-28,R2032,9.945,7.008898015058179
2025-03-28,R213,9.605,5.921971252566735
2025-03-28,R2030,9.145,4.84599589322382
2025-03-28,R186,8.32,1.73305954825462
2025-03-28,R2048,11.675,22.921286789869956
2025-03-28,R2044,11.73,18.84462696783025
2025-03-28,REPO,7.5,0.0
2025-03-28,R2053,11.63,28.0082135523614
2025-03-28,ZARGB25,11.657,25.0
2025-03-28,SATB9M,8.03,0.75
2025-03-28,SATB6M,7.96,0.5
2025-03-28,SATB3M,7.47,0.25
2025-03-28,ZARGB30,11.613,30.0
2025-03-28,ZARGB2,8.39,2.0
2025-03-28,ZARGB20,11.715,20.0
2025-03-28,ZARGB10,10.71,10.0
2025-03-28,ZARGB5,9.209,5.0
